,PR,TR,포트배당수익률(%)
2021-12-13,4706.962565178667,5404.8392864576235,1.3159432301062655
2021-12-14,4707.264918659313,5405.3812094037285,1.3159432301062655
2021-12-15,4700.6739929679225,5398.007284396945,1.3159432301062655
2021-12-16,4781.164570603059,5490.636251563278,1.3159432301062655
2021-12-17,4687.48367708164,5383.248098381225,1.3159432301062655
2021-12-20,4638.284235169896,5327.321715504546,1.3159432301062655
2021-12-21,4780.007753741399,5490.296685145877,1.3159432301062655
2021-12-22,4859.155822469098,5581.40690488798,1.3159432301062655
2021-12-23,4931.150505583408,5664.306742132006,1.3159432301062655
2021-12-24,4953.539831740845,5690.229883932789,1.3159432301062655
2021-12-27,4939.713518952829,5674.960638724361,1.3159432301062655
2021-12-28,4987.571518986214,5730.1484603691715,1.3159432301062655
2021-12-29,4902.000110301381,5632.039619062997,1.3159432301062655
2021-12-30,4991.76999236363,5735.385278474105,1.3159432301062655
2022-01-03,4997.310942789709,5742.987525366368,1.9654358553891216
2022-01-04,4950.933403185707,5689.995901117559,1.9654358553891216
2022-01-05,4800.298161140303,5517.171087689078,1.9654358553891216
2022-01-06,4741.846902701701,5450.284029984714,1.9654358553891216
2022-01-07,4844.125358490445,5568.142608764279,1.9654358553891216
2022-01-10,4761.637728806572,5474.209705430365,1.9654358553891216
2022-01-11,4759.201364551511,5471.7031632423295,1.9654358553891216
2022-01-12,4850.180379567818,5576.602745044047,1.9654358553891216
2022-01-13,4873.6343348062765,5603.870983626415,1.9654358553891216
2022-01-14,4940.401564531065,5680.94790093992,1.9654358553891216
2022-01-17,4927.037593642845,5666.4953311442105,1.9654358553891216
2022-01-18,4864.522246035705,5594.898628699244,1.9654358553891216
2022-01-19,4776.415916532381,5493.8593192651815,1.9654358553891216
2022-01-20,4829.291727573167,5554.976263065966,1.9654358553891216
2022-01-21,4655.949328933351,5355.87436140318,1.9654358553891216
2022-01-24,4633.038045663649,5330.379199202702,1.9654358553891216
2022-01-25,4592.484056150038,5284.005551671958,1.9654358553891216
2022-01-26,4575.6649991110135,5264.937229775273,1.9654358553891216
2022-01-27,4488.809092519573,5165.27539439425,1.9654358553891216
2022-01-28,4685.424042813227,5391.810460586898,1.9654358553891216
2022-02-03,4680.546183267298,5387.936212842818,1.9654358553891216
2022-02-04,4765.955734411966,5486.549276885814,1.9654358553891216
2022-02-07,4690.552027312854,5400.616521481886,1.9654358553891216
2022-02-08,4629.306262867312,5330.386075624954,1.9654358553891216
2022-02-09,4684.056333105579,5393.717929633524,1.9654358553891216
2022-02-10,4767.733034595662,5490.367559470514,1.9654358553891216
2022-02-11,4679.912384414379,5389.526130318431,1.9654358553891216
2022-02-14,4562.755020205113,5255.452491056152,1.9654358553891216
2022-02-15,4456.346460405729,5133.165654424186,1.9654358553891216
2022-02-16,4631.842472359673,5335.602676115475,1.9654358553891216
2022-02-17,4647.416051752468,5353.830576508236,1.9654358553891216
2022-02-18,4635.10837653421,5339.939445787974,1.9654358553891216
2022-02-21,4613.795865495478,5316.244152454388,1.9654358553891216
2022-02-22,4558.84177696899,5253.205992849071,1.9654358553891216
2022-02-23,4608.702260717399,5310.946574089248,1.9654358553891216
2022-02-24,4502.463953842864,5188.799557421403,1.9654358553891216
2022-02-25,4617.8415543870515,5322.051174739247,1.9654358553891216
2022-02-28,4671.45908156903,5384.714370040691,1.9654358553891216
2022-03-02,4738.47240686584,5462.547356249842,1.9654358553891216
2022-03-03,4836.3157596572755,5575.64193730839,1.9654358553891216
2022-03-04,4770.129070925736,5499.633231997227,1.9654358553891216
2022-03-07,4642.744842749549,5353.6320201452845,1.9654358553891216
2022-03-08,4505.085557746923,5195.17418026773,1.9654358553891216
2022-03-10,4595.822962222675,5300.381105704485,1.9654358553891216
2022-03-11,4536.175194789969,5231.870611111127,1.9654358553891216
2022-03-14,4438.469465116765,5120.0065365169,1.9654358553891216
2022-03-15,4371.996378831652,5043.597741720262,1.9654358553891216
2022-03-16,4478.548093273752,5166.795341972889,1.9654358553891216
2022-03-17,4613.770297339156,5323.084434085927,1.9654358553891216
2022-03-18,4644.106480296874,5358.372778666278,1.9654358553891216
2022-03-21,4627.078233304737,5339.587419005152,1.9654358553891216
2022-03-22,4691.159482811806,5413.827644229657,1.9654358553891216
2022-03-23,4693.632043710292,5416.972575929241,1.9654358553891216
2022-03-24,4681.802871229439,5403.611153791734,1.9654358553891216
2022-03-25,4694.473853746588,5418.527220619201,1.9654358553891216
2022-03-28,4737.040237960847,5468.541497577326,1.9654358553891216
2022-03-29,4852.697990316816,5602.360754055799,1.9654358553891216
2022-03-30,4800.289488134968,5542.154203450745,1.9654358553891216
2022-03-31,4765.501156192067,5502.28554584145,1.9654358553891216
2022-04-01,4714.610184582838,5443.819345142494,1.9654358553891216
2022-04-04,4742.231743146604,5476.59708841922,1.9654358553891216
2022-04-05,4723.983806128539,5455.816905526576,1.9654358553891216
2022-04-06,4611.66508631184,5326.384524575331,1.9654358553891216
2022-04-07,4637.148713411461,5356.10582430418,1.9654358553891216
2022-04-08,4638.349095034174,5357.780607024923,1.9654358553891216
2022-04-11,4600.311498679872,5314.701011089025,1.9654358553891216
2022-04-12,4518.054217775427,5219.950743462772,1.9654358553891216
2022-04-13,4630.340890936558,5349.969439016932,1.9654358553891216
2022-04-14,4630.069208984086,5349.943402086724,1.9654358553891216
2022-04-15,4571.955610857381,5283.078685148465,1.9654358553891216
2022-04-18,4596.495830532087,5312.293332755369,1.9654358553891216
2022-04-19,4712.529426808097,5446.6895419463535,1.9654358553891216
2022-04-20,4709.9976894445535,5444.056320545633,1.9654358553891216
2022-04-21,4727.614920567214,5464.713261906862,1.9654358553891216
2022-04-22,4667.957845837498,5396.045201379182,1.9654358553891216
2022-04-25,4516.714727750489,5222.054723928602,1.9654358553891216
2022-04-26,4550.311437844839,5261.181061955203,1.9654358553891216
2022-04-27,4497.302010005469,5200.170078381372,1.9654358553891216
2022-04-28,4460.874339413231,5158.326809025247,1.9654358553891216
2022-04-29,4550.903015131354,5262.714537693913,1.9654358553891216
2022-05-02,4507.767297231369,5213.67343525085,1.9654358553891216
